,出口：韩国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36422901 (SJFM)
SR码,SR520888
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
12/2002,876.662
01/2003,1012.8
02/2003,851
03/2003,958.5
04/2003,847.4
05/2003,724.1
06/2003,727.8
07/2003,809.2
08/2003,859.5
09/2003,849.4
10/2003,1027.6
11/2003,942.4
12/2003,971.6
01/2004,941.9
02/2004,902.6
03/2004,1020.2
04/2004,1003.2
05/2004,1020.8
06/2004,1086
07/2004,1058.8
08/2004,999.3
09/2004,1247
10/2004,1110.5
11/2004,1002.3
12/2004,1102.6
01/2005,979.3
02/2005,912.1
03/2005,1173.6
04/2005,1082.3
05/2005,1054.2
06/2005,1100.5
07/2005,1097.7
08/2005,1168
09/2005,1211.8
10/2005,1284.6
11/2005,1246.8
12/2005,1101.3
01/2006,1150.2
02/2006,1122.1
03/2006,1323.3
04/2006,1194.7
05/2006,1144.7
06/2006,1148.5
07/2006,1087.6
08/2006,1042.9
09/2006,1226.5
10/2006,1202.3
11/2006,1186.4
12/2006,1171.9
01/2007,1203.4
02/2007,1092.6
03/2007,1353.5
04/2007,1376.8
05/2007,1294.2
06/2007,1241.1
07/2007,1380.7
08/2007,1396.7
09/2007,1354.1
10/2007,1532.4
11/2007,1422.5
12/2007,1353.6
01/2008,1652.8
02/2008,1497.1
03/2008,1414
04/2008,1666.4
05/2008,1412.4
06/2008,1429
07/2008,1516.9
08/2008,1473.7
09/2008,1698.5
10/2008,1506.4
11/2008,1076.5
12/2008,974.3
01/2009,1071.2
02/2009,1282.8
03/2009,1439.2
04/2009,1542
05/2009,1475.7
06/2009,1520.2
07/2009,1791.7
08/2009,1632.7
09/2009,1688
10/2009,1619.7
11/2009,1493
12/2009,1663.2
01/2010,1625.8
02/2010,1638.6
03/2010,1711.5
04/2010,1591.4
05/2010,1488.3
06/2010,1550.2
07/2010,1747.4
08/2010,1677.7
09/2010,1585
10/2010,1681.3
11/2010,1625.8
12/2010,1624.6
01/2011,1811.6
02/2011,1465.3
03/2011,1697.3
04/2011,1514.2
05/2011,1557.2
06/2011,1593.8
07/2011,1510
08/2011,1671.7
09/2011,1663.3
10/2011,1571.7
11/2011,1592.5
12/2011,1810.2
01/2012,1718.8
02/2012,1829.4
03/2012,2022.4
04/2012,1770.3
05/2012,1718.3
06/2012,1805.9
07/2012,1649.4
08/2012,1685.9
09/2012,1664.3
10/2012,1702
11/2012,1550.7
12/2012,1595.7
01/2013,1856.8
02/2013,1475.3
03/2013,1917
04/2013,1766.4
05/2013,1660.4
06/2013,1588.2
07/2013,1482.8
08/2013,1893.3
09/2013,1992.9
10/2013,1947.7
11/2013,1525.3
12/2013,1691.1
01/2014,1782.5
02/2014,1551.8
03/2014,2089.6
04/2014,2061.5
05/2014,1612.1
06/2014,1826.4
07/2014,1680.7
08/2014,1696.5
09/2014,1755
10/2014,1760.5
11/2014,1550.8
12/2014,1770.4
01/2015,1867.8
02/2015,1602.2
03/2015,1902.4
04/2015,1947.4
05/2015,1536.5
06/2015,1583.3
07/2015,1766.7
08/2015,1410
09/2015,1672.9
10/2015,1700.3
11/2015,1377
12/2015,1534.7
01/2016,1602.1
02/2016,1564.7
03/2016,1888.9
04/2016,1825.8
05/2016,1469.6
06/2016,1788.2
07/2016,1430.4
08/2016,1473.9
09/2016,1669.3
10/2016,1583.6
11/2016,1675.8
12/2016,2081.6
01/2017,1801.1
02/2017,1611.5
03/2017,2273.7
04/2017,1924.2
05/2017,1710.3
06/2017,2017.2
07/2017,2091.7
08/2017,1938.2
09/2017,1858.9
10/2017,1856.3
11/2017,1879.5
12/2017,2139.7
01/2018,1894.7
02/2018,1576.3
03/2018,2147.3
04/2018,1691.6
05/2018,1737.5
06/2018,1769
07/2018,1714.9
08/2018,1593.5
09/2018,1604.7
10/2018,1930
11/2018,1633.4
12/2018,1832.7
01/2019,1669.6
02/2019,1427.8
03/2019,1890.2
04/2019,1681.8
05/2019,1789.2
06/2019,1618
07/2019,1846.2
08/2019,1624.5
09/2019,1736.8
10/2019,1662.8
11/2019,1714.8
12/2019,2088.6
01/2020,2003.4
02/2020,2064.4
03/2020,2203.1
04/2020,1646.7
05/2020,1483.6
06/2020,2112.4
07/2020,2083.2
08/2020,1896.8
09/2020,1848.4
10/2020,1813.1
11/2020,1791.4
12/2020,2170.8
01/2021,1942
02/2021,1831.9
03/2021,2385.8
04/2021,2431.3
05/2021,1945.1
06/2021,2429.5
07/2021,2203.5
08/2021,2213.4
09/2021,2086.6
10/2021,2267.9
11/2021,2260.6
12/2021,2447
01/2022,2139.5
02/2022,1725.2
03/2022,2390.7
04/2022,2343.8
05/2022,2146.7
06/2022,2916
07/2022,2397.6
08/2022,2412.7
09/2022,2896.1
10/2022,2330.1
11/2022,2165.1
12/2022,2865.7
01/2023,2099.7
02/2023,1847.6
03/2023,2753.8
04/2023,2425
05/2023,2021.2
06/2023,3083
07/2023,2396.6
08/2023,2180.3
09/2023,2109.8
10/2023,2222.8
11/2023,2201.5
12/2023,2390.8
01/2024,2659.5
02/2024,2136.4
03/2024,2366.3
04/2024,2444
05/2024,2404.2
06/2024,2302.8
07/2024,2157.3
08/2024,2185.2
09/2024,2328.8
10/2024,2383
11/2024,2407.2
12/2024,2648
01/2025,2738.9
02/2025,2300.5
03/2025,2681.4
04/2025,2694.3
05/2025,2172.4
06/2025,2478
07/2025,2362.5
08/2025,2172.4
09/2025,2349.6
10/2025,2790.5
11/2025,2402.7
12/2025,2597.9
01/2026,3029.5
