,出口：美国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36423101 (SJFQ)
SR码,SR520859
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
03/2001,3338.829
04/2001,2831.346
05/2001,2726.325
06/2001,2997.403
07/2001,2488.163
08/2001,2635.813
09/2001,2402.797
10/2001,2762.179
11/2001,2608.928
12/2001,2565.39
01/2002,2552.538
02/2002,2256.079
03/2002,2644.203
04/2002,2791.163
05/2002,2841.248
06/2002,2763.451
07/2002,2993.163
08/2002,3077.042
09/2002,2690.465
10/2002,2707.534
11/2002,3205.915
12/2002,2412.473
01/2003,2777.6
02/2003,2420.5
03/2003,2705.7
04/2003,2800.7
05/2003,2824.9
06/2003,2955.3
07/2003,2768.5
08/2003,2634.3
09/2003,2945.5
10/2003,3107.7
11/2003,2631.5
12/2003,2887.8
01/2004,2580.7
02/2004,2377.4
03/2004,3190.3
04/2004,2988
05/2004,3027.8
06/2004,3334.3
07/2004,3493.1
08/2004,3437.6
09/2004,3414.5
10/2004,3344.1
11/2004,3115.3
12/2004,3197.6
01/2005,2985.5
02/2005,2874.7
03/2005,3257.1
04/2005,3062.1
05/2005,3002.1
06/2005,3229.6
07/2005,3258.8
08/2005,3400.6
09/2005,3282.5
10/2005,3540.6
11/2005,3717.4
12/2005,3413.3
01/2006,3086
02/2006,3325
03/2006,3857.3
04/2006,3469.7
05/2006,3442.8
06/2006,3974
07/2006,3807.2
08/2006,3677.2
09/2006,3778.2
10/2006,3914.7
11/2006,3352.7
12/2006,3144.7
01/2007,3569.8
02/2007,3125.7
03/2007,3836.4
04/2007,3400.8
05/2007,3176.6
06/2007,3249
07/2007,3271.3
08/2007,3354.2
09/2007,3188.8
10/2007,3357.3
11/2007,3149.8
12/2007,2813.3
01/2008,3462.5
02/2008,2920.8
03/2008,2935.4
04/2008,3028.8
05/2008,2659.6
06/2008,2688.1
07/2008,2625.5
08/2008,2654.6
09/2008,2794.4
10/2008,2647.9
11/2008,2674.5
12/2008,2360.3
01/2009,1895.8
02/2009,1681
03/2009,2097.5
04/2009,2056.4
05/2009,1867.3
06/2009,2182.2
07/2009,1937.6
08/2009,2122.8
09/2009,2435.8
10/2009,2479.6
11/2009,2350.6
12/2009,2378.7
01/2010,2218
02/2010,1956.3
03/2010,2316.6
04/2010,2771
05/2010,2297.3
06/2010,2460.5
07/2010,2479.6
08/2010,2963.9
09/2010,3169.5
10/2010,3384.9
11/2010,2445.6
12/2010,2408.2
01/2011,2535.8
02/2011,2041.5
03/2011,2402.7
04/2011,2692
05/2011,2395.6
06/2011,2313.3
07/2011,2265.9
08/2011,2125.8
09/2011,2067.1
10/2011,2250.2
11/2011,2166.2
12/2011,2188.7
01/2012,2336.7
02/2012,2836.9
03/2012,2445.9
04/2012,2225.9
05/2012,2181
06/2012,2106.1
07/2012,2096.2
08/2012,2148.8
09/2012,2019.8
10/2012,2813.2
11/2012,2076.7
12/2012,1895.1
01/2013,2120.8
02/2013,1666.2
03/2013,2227.9
04/2013,2474.1
05/2013,2288.1
06/2013,2277.3
07/2013,2478.2
08/2013,2477.6
09/2013,2724.2
10/2013,2785.1
11/2013,2900.6
12/2013,2168.6
01/2014,2231
02/2014,1968.2
03/2014,2197.3
04/2014,2766.8
05/2014,1988
06/2014,2145.9
07/2014,2425.6
08/2014,2378.7
09/2014,2363.8
10/2014,2617.2
11/2014,2071.3
12/2014,2330.1
01/2015,2275
02/2015,2055.3
03/2015,2706.6
04/2015,2565.9
05/2015,2330.8
06/2015,2418.4
07/2015,2769.8
08/2015,2629.7
09/2015,2691.8
10/2015,2710.9
11/2015,2235.5
12/2015,2456.7
01/2016,2253.5
02/2016,2076.7
03/2016,2500.8
04/2016,2505
05/2016,2505.9
06/2016,2604.3
07/2016,2626.6
08/2016,2659.1
09/2016,2450.7
10/2016,2602.4
11/2016,2575.1
12/2016,2473.4
01/2017,2487.9
02/2017,2165.8
03/2017,2922.8
04/2017,2547.1
05/2017,3048.2
06/2017,2690.3
07/2017,2726.9
08/2017,2929.6
09/2017,2619.3
10/2017,2838.9
11/2017,2748.5
12/2017,2637
01/2018,3230.5
02/2018,2980.4
03/2018,3381.6
04/2018,3394.3
05/2018,3623.9
06/2018,3390.3
07/2018,3538.6
08/2018,3669.6
09/2018,3622.3
10/2018,3667
11/2018,3478.2
12/2018,3369
01/2019,3712
02/2019,3367.5
03/2019,4208
04/2019,3749.6
05/2019,4329.1
06/2019,3675.3
07/2019,3941.3
08/2019,3421.7
09/2019,3484.4
10/2019,3691.1
11/2019,3919.5
12/2019,3812.3
01/2020,3929
02/2020,4258.8
03/2020,4782.3
04/2020,5439.1
05/2020,4933.9
06/2020,4015.2
07/2020,5935.2
08/2020,3846.3
09/2020,3842.5
10/2020,4051.6
11/2020,4297.1
12/2020,4720.4
01/2021,3808.4
02/2021,3789.9
03/2021,4526.5
04/2021,4298
05/2021,4520.7
06/2021,4191.5
07/2021,3923.6
08/2021,4240.8
09/2021,4361.4
10/2021,4434
11/2021,4604.7
12/2021,4684.9
01/2022,5127.1
