,出口：墨西哥
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36424201 (SJFSE)
SR码,SR520858
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
12/2002,80.073
01/2003,83.9
02/2003,65
03/2003,80.1
04/2003,122.1
05/2003,130.2
06/2003,106.7
07/2003,94.9
08/2003,60
09/2003,100.1
10/2003,89.7
11/2003,230.8
12/2003,88
01/2004,63.6
02/2004,62.8
03/2004,112.3
04/2004,122.1
05/2004,118
06/2004,131.3
07/2004,137
08/2004,145.7
09/2004,173.5
10/2004,115.7
11/2004,112.9
12/2004,121.1
01/2005,96
02/2005,93.3
03/2005,99.9
04/2005,120.7
05/2005,135.2
06/2005,138.4
07/2005,159.3
08/2005,144.3
09/2005,148.3
10/2005,121.7
11/2005,126.8
12/2005,235.1
01/2006,110.7
02/2006,121.3
03/2006,156.6
04/2006,125.1
05/2006,129.1
06/2006,152.5
07/2006,134.1
08/2006,148.9
09/2006,158.6
10/2006,139.9
11/2006,118.9
12/2006,107.1
01/2007,111.1
02/2007,112.7
03/2007,123
04/2007,110.5
05/2007,93.7
06/2007,148.1
07/2007,224.2
08/2007,143.7
09/2007,117.4
10/2007,190.6
11/2007,142.2
12/2007,120.2
01/2008,151.7
02/2008,99.2
03/2008,695.4
04/2008,115.8
05/2008,104
06/2008,113.4
07/2008,118.6
08/2008,114.2
09/2008,172
10/2008,167.4
11/2008,106.6
12/2008,74.1
01/2009,80
02/2009,76.3
03/2009,64.2
04/2009,69.6
05/2009,296.1
06/2009,420.9
07/2009,474.2
08/2009,94.5
09/2009,109.1
10/2009,100.8
11/2009,103.1
12/2009,113.4
01/2010,94.4
02/2010,108.7
03/2010,107
04/2010,131.7
05/2010,117.3
06/2010,126.9
07/2010,241.4
08/2010,128
09/2010,126.8
10/2010,148.9
11/2010,109.8
12/2010,105.4
01/2011,127.9
02/2011,67.3
03/2011,847.7
04/2011,195.8
05/2011,85.9
06/2011,361
07/2011,121.6
08/2011,101
09/2011,83.3
10/2011,75.2
11/2011,103.3
12/2011,931.3
01/2012,69.2
02/2012,83
03/2012,97.5
04/2012,97.2
05/2012,84.9
06/2012,90
07/2012,101.9
08/2012,508.2
09/2012,87.3
10/2012,97.9
11/2012,82.8
12/2012,90.2
01/2013,89.5
02/2013,77.9
03/2013,89.6
04/2013,118.8
05/2013,102.3
06/2013,105.5
07/2013,125.9
08/2013,112.3
09/2013,93.4
10/2013,100.2
11/2013,85.7
12/2013,84.4
01/2014,88.5
02/2014,76.5
03/2014,89.5
04/2014,121.1
05/2014,102.5
06/2014,96.9
07/2014,116.3
08/2014,109.8
09/2014,116.3
10/2014,118.1
11/2014,100.6
12/2014,133
01/2015,116.1
02/2015,107.8
03/2015,132.7
04/2015,137.8
05/2015,146
06/2015,240.9
07/2015,394.5
08/2015,155.5
09/2015,145.4
10/2015,140.4
11/2015,120.4
12/2015,126.9
01/2016,125.2
02/2016,96.6
03/2016,108.1
04/2016,117.8
05/2016,110
06/2016,234
07/2016,175.8
08/2016,130.3
09/2016,108.3
10/2016,163.6
11/2016,113.8
12/2016,144.3
01/2017,145.8
02/2017,95.9
03/2017,141.5
04/2017,157.5
05/2017,156.5
06/2017,129
07/2017,195.4
08/2017,186.7
09/2017,242.5
10/2017,106.7
11/2017,88
12/2017,121.9
01/2018,91.4
02/2018,80.1
03/2018,128.9
04/2018,120.9
05/2018,135.9
06/2018,116.2
07/2018,170
08/2018,198
09/2018,140.8
10/2018,123.4
11/2018,119.5
12/2018,130.3
