,进口：德国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416001 (SJCB)
SR码,SR739116
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
12/2002,580.298
01/2003,587.7
02/2003,618.1
03/2003,655.8
04/2003,701.1
05/2003,698.2
06/2003,747.9
07/2003,736.1
08/2003,712.7
09/2003,652.8
10/2003,784.5
11/2003,766.8
12/2003,798.7
01/2004,729.5
02/2004,694.2
03/2004,877.7
04/2004,781.6
05/2004,799.4
06/2004,787.2
07/2004,834.8
08/2004,842.4
09/2004,814.8
10/2004,800.7
11/2004,787.3
12/2004,855
01/2005,739.4
02/2005,649.4
03/2005,802.2
04/2005,813.2
05/2005,805.5
06/2005,851
07/2005,850.6
08/2005,895.6
09/2005,840.3
10/2005,926.8
11/2005,779.9
12/2005,965.4
01/2006,755.8
02/2006,778.1
03/2006,968.7
04/2006,815.1
05/2006,806.7
06/2006,912.2
07/2006,961.9
08/2006,1018.1
09/2006,952
10/2006,926.6
11/2006,962.4
12/2006,939.4
01/2007,882.7
02/2007,823.7
03/2007,1013.5
04/2007,931.6
05/2007,1100.6
06/2007,1026.3
07/2007,1061.2
08/2007,1149.4
09/2007,1007.9
10/2007,1076.8
11/2007,1084
12/2007,1084.2
01/2008,1038.7
02/2008,904.7
03/2008,1165.7
04/2008,1151.1
05/2008,1111.4
06/2008,1192.8
07/2008,1144.1
08/2008,1106.1
09/2008,1225.4
10/2008,1094.7
11/2008,922
12/2008,973.9
01/2009,836.7
02/2009,776.9
03/2009,944.8
04/2009,880.9
05/2009,859.1
06/2009,866.7
07/2009,1009.6
08/2009,1036.8
09/2009,971.6
10/2009,1207.8
11/2009,987.3
12/2009,1049.7
01/2010,874.5
02/2010,847.9
03/2010,1209.8
04/2010,984.9
05/2010,1031.9
06/2010,1055.8
07/2010,1033.3
08/2010,1046.4
09/2010,977.5
10/2010,1000.3
11/2010,1009.4
12/2010,1058.1
01/2011,912
02/2011,830.2
03/2011,1187.5
04/2011,1173.5
05/2011,1101.2
06/2011,1123.4
07/2011,1032.4
08/2011,1094.7
09/2011,1085.3
10/2011,1066.9
11/2011,1271.5
12/2011,1199.5
01/2012,995.2
02/2012,1175.4
03/2012,1246.3
04/2012,1099.4
05/2012,1174
06/2012,1093.6
07/2012,1161.2
08/2012,1074.9
09/2012,1137.4
10/2012,1025.7
11/2012,1041.2
12/2012,979.4
01/2013,1016.4
02/2013,901.7
03/2013,1152
04/2013,1153
05/2013,1123.6
06/2013,1058.8
07/2013,1255
08/2013,1194
09/2013,1168.1
10/2013,1300.8
11/2013,1048.8
12/2013,1234.7
01/2014,1067.3
02/2014,1048.2
03/2014,1195.1
04/2014,1299
05/2014,1086.6
06/2014,1044.7
07/2014,1120.5
08/2014,1136.5
09/2014,1119.2
10/2014,1085.6
11/2014,1068.7
12/2014,1215.1
01/2015,1004.8
02/2015,925.7
03/2015,1060.1
04/2015,1038.7
05/2015,946.6
06/2015,977.7
07/2015,1096.3
08/2015,1083.2
09/2015,1025.9
10/2015,1098.7
11/2015,1025.8
12/2015,1023.7
