,进口：英国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416101 (SJCC)
SR码,SR739126
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
12/2002,352.986
01/2003,334.6
02/2003,308.6
03/2003,355.7
04/2003,355.7
05/2003,331
06/2003,341.6
07/2003,407.2
08/2003,367.1
09/2003,397.1
10/2003,428.1
11/2003,413.4
12/2003,426.9
01/2004,381.2
02/2004,405.7
03/2004,501.8
04/2004,440.3
05/2004,419.5
06/2004,454.7
07/2004,494.1
08/2004,421.6
09/2004,427.5
10/2004,484.7
11/2004,445.4
12/2004,430.7
01/2005,399.9
02/2005,397.2
03/2005,456.6
04/2005,524.2
05/2005,540.7
06/2005,642.6
07/2005,555.7
08/2005,592.8
09/2005,647.3
10/2005,630.8
11/2005,567.8
12/2005,598.1
01/2006,579.7
02/2006,596.4
03/2006,604.4
04/2006,596.2
05/2006,710
06/2006,555.7
07/2006,659.3
08/2006,493.7
09/2006,504.9
10/2006,531
11/2006,547.7
12/2006,541.9
01/2007,530.4
02/2007,506.2
03/2007,623.8
04/2007,651.8
05/2007,679.2
06/2007,589.3
07/2007,585.3
08/2007,652
09/2007,494.3
10/2007,643.9
11/2007,727.6
12/2007,567.6
01/2008,654.3
02/2008,507.5
03/2008,618
04/2008,550.5
05/2008,496.5
06/2008,571.2
07/2008,579.2
08/2008,650
09/2008,597.8
10/2008,623.1
11/2008,541.6
12/2008,497.6
01/2009,522.9
02/2009,451.5
03/2009,521.9
04/2009,433.8
05/2009,437
06/2009,529.1
07/2009,548.8
08/2009,483.3
09/2009,661.3
10/2009,583.8
11/2009,677.6
12/2009,695.8
01/2010,485.1
02/2010,513.2
03/2010,636.1
04/2010,569.6
05/2010,628.4
06/2010,709.6
07/2010,746.2
08/2010,765.4
09/2010,502.6
10/2010,536.8
11/2010,804.4
12/2010,706.5
01/2011,565.9
02/2011,417.3
03/2011,557.7
04/2011,544.7
05/2011,693.3
06/2011,552.6
07/2011,541.7
08/2011,821.9
09/2011,547.2
10/2011,782.1
11/2011,729.8
12/2011,844.6
01/2012,623.5
02/2012,774.1
03/2012,813.2
04/2012,621.6
05/2012,792.4
06/2012,711.1
07/2012,658.7
08/2012,758.9
09/2012,690.1
10/2012,872.2
11/2012,706.6
12/2012,756.8
01/2013,905.8
02/2013,568.2
03/2013,851.4
04/2013,906.4
05/2013,840.3
06/2013,775.4
07/2013,934.6
08/2013,821.1
09/2013,890.7
10/2013,915.3
11/2013,821.8
12/2013,759
01/2014,674.2
02/2014,606.6
03/2014,761.9
04/2014,727.7
05/2014,694.3
06/2014,600.1
07/2014,600.3
08/2014,663.1
09/2014,592.8
10/2014,679.8
11/2014,593.5
12/2014,656.5
01/2015,583.2
02/2015,661.7
03/2015,795.8
04/2015,574.7
05/2015,563.6
06/2015,613.8
07/2015,637.7
08/2015,721.1
09/2015,679.8
10/2015,667
11/2015,739.2
12/2015,657.4
01/2016,586.6
02/2016,654.9
03/2016,719.9
04/2016,760.3
05/2016,619.6
06/2016,531.9
07/2016,595.5
08/2016,555.9
09/2016,582.1
10/2016,579.1
11/2016,625.3
12/2016,615.7
01/2017,455.4
02/2017,517.6
03/2017,569.9
04/2017,500.3
05/2017,638.7
06/2017,806.1
07/2017,519.1
08/2017,808.9
09/2017,596.1
10/2017,750.8
11/2017,791.8
12/2017,685.9
01/2018,636
02/2018,606.1
03/2018,762.1
04/2018,536.3
05/2018,617.6
06/2018,832.5
07/2018,1223.3
08/2018,1260.3
09/2018,916.7
10/2018,1031
11/2018,984
12/2018,1020.6
01/2019,1095.5
02/2019,1074.2
03/2019,1081
04/2019,895.4
05/2019,977.2
06/2019,852.7
07/2019,881.7
08/2019,1044.7
09/2019,961.6
10/2019,1028.9
11/2019,1057.5
12/2019,1122.9
01/2020,1104.1
02/2020,1321.7
03/2020,1136.2
04/2020,849.8
05/2020,1104
06/2020,739.5
07/2020,830.6
08/2020,863
09/2020,762.2
10/2020,802.8
11/2020,635.4
12/2020,755.3
01/2021,858.4
02/2021,750.6
03/2021,879
04/2021,691.9
05/2021,569.8
06/2021,844.3
07/2021,793.2
08/2021,649.6
09/2021,682.1
10/2021,691.3
11/2021,1000.9
12/2021,799.7
01/2022,948.4
02/2022,769.4
03/2022,886.7
04/2022,874
05/2022,985.2
06/2022,909.9
07/2022,802.8
08/2022,753.4
09/2022,1131.4
10/2022,860
11/2022,1050.4
12/2022,940.1
01/2023,703.2
02/2023,872.1
03/2023,1073.8
04/2023,831.4
05/2023,966
06/2023,780.3
07/2023,1181.9
08/2023,966.2
09/2023,919.3
10/2023,910.6
11/2023,859.1
12/2023,1270.2
01/2024,966.6
02/2024,771.9
03/2024,1022
04/2024,1193.5
05/2024,1172.1
06/2024,867.3
07/2024,1352.2
08/2024,905.9
09/2024,942.5
10/2024,940.7
11/2024,1146.9
12/2024,1166.6
01/2025,866.1
02/2025,1237.2
03/2025,1383.7
04/2025,1131.6
05/2025,1207.3
06/2025,1040.6
07/2025,1266.4
08/2025,1489.8
09/2025,1412.4
10/2025,1413.4
11/2025,1379.8
12/2025,1687.9
01/2026,1547.6
