,进口：泰国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416401 (SJCF)
SR码,SR739139
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
12/2002,820.561
01/2003,695.4
02/2003,712.1
03/2003,870.7
04/2003,790
05/2003,765.2
06/2003,711.1
07/2003,767
08/2003,732
09/2003,805.8
10/2003,916
11/2003,882.1
12/2003,939.9
01/2004,804.4
02/2004,815.5
03/2004,900.2
04/2004,876.5
05/2004,877.8
06/2004,930.2
07/2004,1012.8
08/2004,1033.6
09/2004,1028.2
10/2004,1028.3
11/2004,999.8
12/2004,1053.2
01/2005,922.3
02/2005,841.9
03/2005,1123.1
04/2005,1018.6
05/2005,981.5
06/2005,980.1
07/2005,1003.4
08/2005,1224.7
09/2005,1178
10/2005,1118.3
11/2005,1121.7
12/2005,1099.8
01/2006,1009.4
02/2006,1180.2
03/2006,1349.7
04/2006,1043.6
05/2006,1097.5
06/2006,1024.3
07/2006,1242.6
08/2006,1463.2
09/2006,1235.8
10/2006,1212
11/2006,1077.9
12/2006,988.4
01/2007,908.4
02/2007,1012.9
03/2007,1043.2
04/2007,1029.4
05/2007,1074.9
06/2007,1155.1
07/2007,1127.6
08/2007,1199.1
09/2007,1028.5
10/2007,1081
11/2007,1110.9
12/2007,1068.7
01/2008,1275.2
02/2008,1026.9
03/2008,1295.8
04/2008,1215.4
05/2008,1340
06/2008,1516.8
07/2008,1703
08/2008,1293.4
09/2008,1579.6
10/2008,1465
11/2008,1105
12/2008,1248.6
01/2009,709
02/2009,747.3
03/2009,857.5
04/2009,982.7
05/2009,937.6
06/2009,1008.3
07/2009,1189.1
08/2009,1135.7
09/2009,1139.8
10/2009,1005.6
11/2009,1083.3
12/2009,1134.3
01/2010,1116.5
02/2010,1159.5
03/2010,1208.9
04/2010,1171.5
05/2010,1067.5
06/2010,1220.9
07/2010,1198.1
08/2010,1158.5
09/2010,1298.4
10/2010,1077.5
11/2010,1116.9
12/2010,1206.2
01/2011,1061
02/2011,1036.5
03/2011,1148.8
04/2011,1262.7
05/2011,1143.5
06/2011,1482.3
07/2011,1144.5
08/2011,1469.5
09/2011,1398.1
10/2011,1204.6
11/2011,971
12/2011,995.1
01/2012,818.4
02/2012,1212.2
03/2012,1167.3
04/2012,1081.6
05/2012,1191.4
06/2012,1239.4
07/2012,1032.6
08/2012,990.3
09/2012,1005.2
10/2012,1056.7
11/2012,959.8
12/2012,914.5
01/2013,1051
02/2013,889.4
03/2013,890.9
04/2013,940.7
05/2013,812
06/2013,911.9
07/2013,1022.2
08/2013,897
09/2013,1020.3
10/2013,1462.7
11/2013,931.4
12/2013,813.4
01/2014,939.8
02/2014,790.9
03/2014,861.5
04/2014,939.8
05/2014,784.2
06/2014,883.8
07/2014,855.8
08/2014,973.8
09/2014,1311.3
10/2014,1026.1
11/2014,778.7
12/2014,961.5
01/2015,1016
02/2015,731.2
03/2015,910.3
04/2015,885.9
05/2015,1032.8
06/2015,1091.7
07/2015,1047.9
08/2015,896.8
09/2015,892
10/2015,939.9
11/2015,799.4
12/2015,789.9
01/2016,712.6
02/2016,1248.6
03/2016,767.7
04/2016,629.3
05/2016,741.5
06/2016,817.5
07/2016,767.8
08/2016,842.8
09/2016,764.1
10/2016,851.9
11/2016,861.2
12/2016,956.8
01/2017,750.8
02/2017,730.7
03/2017,837.5
04/2017,773.5
05/2017,905.8
06/2017,791.2
07/2017,738.4
08/2017,850.4
09/2017,953.6
10/2017,808.6
11/2017,862.8
12/2017,890.8
01/2018,908.2
02/2018,825.8
03/2018,949.3
04/2018,853.6
05/2018,1010
06/2018,957.3
07/2018,962.3
08/2018,1053.7
09/2018,867
10/2018,1030
11/2018,912.4
12/2018,864.1
01/2019,766.6
02/2019,760.1
03/2019,847.6
04/2019,715.7
05/2019,835.5
06/2019,1225.5
07/2019,1081.5
08/2019,902.3
09/2019,863.3
10/2019,872.6
11/2019,743
12/2019,831.1
01/2020,1119.9
02/2020,1371.9
03/2020,1087.8
04/2020,1983.2
05/2020,995.8
06/2020,801.4
07/2020,1205.6
08/2020,1440.6
09/2020,902.4
10/2020,906.2
11/2020,741.3
12/2020,938.7
01/2021,746.4
02/2021,813.8
03/2021,916.1
04/2021,887.2
05/2021,1122.7
06/2021,1146.8
07/2021,1225.9
08/2021,1228.7
09/2021,1160.1
10/2021,1180.4
11/2021,1283.6
12/2021,1451.6
01/2022,1239.9
02/2022,1231.6
03/2022,2249
04/2022,1529.5
05/2022,1440.3
06/2022,2034
07/2022,1636.8
08/2022,1511.9
09/2022,1343.8
10/2022,1431.2
11/2022,1242
12/2022,1116.4
01/2023,1145.6
02/2023,1130.7
03/2023,1693.6
04/2023,1400.7
05/2023,1218
06/2023,1226.7
07/2023,1254.5
08/2023,1431.7
09/2023,1361.2
10/2023,1554.6
11/2023,1413
12/2023,1308.8
01/2024,1337
02/2024,956.4
03/2024,1185.4
04/2024,1379.3
05/2024,1233.3
06/2024,1214.4
07/2024,1251.3
08/2024,1202.7
09/2024,1250.2
10/2024,1517.2
11/2024,1228.3
12/2024,1421.6
01/2025,1139.7
02/2025,1016
03/2025,1003.5
04/2025,1417.9
05/2025,1350.4
06/2025,1498.8
07/2025,1641
08/2025,1613.6
09/2025,1810.9
10/2025,1783.4
11/2025,1469.4
12/2025,1776.8
01/2026,2292.3
