,进口：马来西亚
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416601 (SJCI)
SR码,SR739134
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
建议,
05/2001,3002.942
06/2001,2909.781
07/2001,2897.926
08/2001,2976.74
09/2001,2948.804
10/2001,3192.276
11/2001,3127.019
12/2001,2917.302
01/2002,3121.587
02/2002,2519.417
03/2002,3239.159
04/2002,3117.993
05/2002,3298.132
06/2002,3186.124
07/2002,3272.678
08/2002,3293.775
09/2002,3347.77
10/2002,3493.612
11/2002,3192.148
12/2002,2870.793
01/2003,3003.6
02/2003,2591.4
03/2003,3172.3
04/2003,3150
05/2003,3143.8
06/2003,3032.1
07/2003,3206.9
08/2003,3158.2
09/2003,3208
10/2003,3371.2
11/2003,3119.8
12/2003,3375.9
01/2004,2934.5
02/2004,3077.1
03/2004,3587.4
04/2004,3368.8
05/2004,3300.4
06/2004,3620.4
07/2004,3629.8
08/2004,3864.9
09/2004,3847.1
10/2004,3855.2
11/2004,3380.2
12/2004,3738
01/2005,3552.1
02/2005,3011.2
03/2005,3985.3
04/2005,3676.2
05/2005,3427
06/2005,3805.1
07/2005,3782.6
08/2005,3912
09/2005,4144.5
10/2005,4209.9
11/2005,3754.1
12/2005,4269.2
01/2006,4003.6
02/2006,3823.8
03/2006,4525.9
04/2006,4007.1
05/2006,4269.1
06/2006,4268.5
07/2006,4132.4
08/2006,4377.7
09/2006,4337.4
10/2006,3845.8
11/2006,3998.1
12/2006,3903.9
01/2007,4018.9
02/2007,3471.5
03/2007,4410.3
04/2007,4184.8
05/2007,4051.3
06/2007,4281.4
07/2007,4395.7
08/2007,4641.5
09/2007,4792
10/2007,4665.1
11/2007,4477.7
12/2007,4438
01/2008,4927.4
02/2008,4178
03/2008,4729.4
04/2008,5034.7
05/2008,4482.7
06/2008,4951.3
07/2008,5329.8
08/2008,4310.9
09/2008,4980
10/2008,4086.4
11/2008,3647.5
12/2008,3180.5
01/2009,2691.4
02/2009,2711.5
03/2009,3293.7
04/2009,3259.9
05/2009,3182.4
06/2009,3542.4
07/2009,3706.4
08/2009,3427
09/2009,3606.1
10/2009,4144.5
11/2009,3714.4
12/2009,4079.1
01/2010,4285.1
02/2010,3768.3
03/2010,4247.3
04/2010,4238.5
05/2010,3902.1
06/2010,4068.6
07/2010,4351.9
08/2010,4095.8
09/2010,4136.5
10/2010,3946.6
11/2010,4426.9
12/2010,4143.3
01/2011,3860.6
02/2011,3532.8
03/2011,4578.1
04/2011,4311.7
05/2011,3789.6
06/2011,4284.8
07/2011,4235.9
08/2011,4318
09/2011,3921.7
10/2011,4297.6
11/2011,4121.6
12/2011,3989.9
01/2012,3495.2
02/2012,4327
03/2012,4440.6
04/2012,4385
05/2012,4159.9
06/2012,4646.8
07/2012,4516
08/2012,4179
09/2012,4189.6
10/2012,4333.6
11/2012,4042.7
12/2012,3876.6
01/2013,4316.6
02/2013,4001.3
03/2013,4165.3
04/2013,4183.3
05/2013,4040.4
06/2013,4072.3
07/2013,4607.7
08/2013,4397.6
09/2013,4058
10/2013,4459.9
11/2013,4268.2
12/2013,4580
01/2014,4373.4
02/2014,4043.3
03/2014,4098.5
04/2014,4157.3
05/2014,4314.3
06/2014,3892.9
07/2014,4354
08/2014,4165.1
09/2014,4268.4
10/2014,4121.1
11/2014,3890.6
12/2014,3793.1
01/2015,3965.2
02/2015,3363.2
03/2015,4028.2
04/2015,3447
05/2015,3613.2
06/2015,4180.5
07/2015,3968
08/2015,4008.9
09/2015,3832.9
10/2015,3834.5
11/2015,3521
12/2015,3677.2
01/2016,3277.1
02/2016,3091.1
03/2016,3442.7
04/2016,3257.8
05/2016,3755.9
06/2016,3965.1
07/2016,3576
08/2016,4075.1
09/2016,3917.8
10/2016,3932.4
11/2016,4132.2
12/2016,4113.6
01/2017,4201.2
02/2017,4151.4
03/2017,4639.7
04/2017,4248.2
05/2017,4789
06/2017,4070.9
07/2017,4377.5
08/2017,4795.2
09/2017,4180.7
10/2017,4764.2
11/2017,4832.6
12/2017,4559.3
01/2018,4645.8
02/2018,3943.5
03/2018,4710.6
04/2018,4823.9
05/2018,5219
06/2018,4611.3
07/2018,4984.8
08/2018,4849.4
09/2018,4591.9
10/2018,5612.9
11/2018,4880
12/2018,4874.2
01/2019,4608.9
02/2019,3825.7
03/2019,4774.1
04/2019,4770.8
05/2019,5260.8
06/2019,4233.8
07/2019,4899
08/2019,4647.1
09/2019,4714.7
10/2019,4982
11/2019,4764.9
12/2019,5391.2
01/2020,4979.3
02/2020,4985.9
03/2020,4295.4
04/2020,3387.4
05/2020,4002.2
06/2020,5247.9
07/2020,5094.9
08/2020,5070
09/2020,5093
10/2020,5249.3
11/2020,4918.8
12/2020,5226.1
01/2021,5553.3
02/2021,5402.5
03/2021,6158.1
04/2021,6272.6
05/2021,5932.7
06/2021,5526.7
07/2021,5830.8
08/2021,5733.4
09/2021,5974.6
10/2021,6447.6
11/2021,6572.6
12/2021,6725.7
01/2022,6180.1
02/2022,5333.9
03/2022,7882.2
04/2022,6958.6
05/2022,6664.4
06/2022,7528.1
07/2022,7243.9
08/2022,7225.6
09/2022,7672
10/2022,6417.4
11/2022,6773.4
12/2022,6018
01/2023,4920.1
02/2023,5745.4
03/2023,5662.1
04/2023,5274.4
05/2023,5027.5
06/2023,5870
07/2023,4835.2
08/2023,5341.9
09/2023,5224.8
10/2023,5654.6
11/2023,5426.4
12/2023,4955.1
01/2024,5849.5
02/2024,5084
03/2024,5374.5
04/2024,5915.8
05/2024,6504.4
06/2024,5278.6
07/2024,6082.4
08/2024,5234.6
09/2024,5462
10/2024,5574
11/2024,5778.2
12/2024,6569.9
01/2025,6445.2
02/2025,5738
03/2025,5968.4
04/2025,6127.5
05/2025,5527.4
06/2025,5367.6
07/2025,6292.7
08/2025,5936.1
09/2025,6172
10/2025,6630.5
11/2025,5597.5
12/2025,6109.2
01/2026,5990
