,进口：美国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36417201 (SJCQ)
SR码,SR739103
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,[COVID-19-IMPACT]
04/2001,2759.286
05/2001,2712.774
06/2001,3016.544
07/2001,2863.825
08/2001,2596.426
09/2001,2631.161
10/2001,3359.914
11/2001,2605.3
12/2001,2218.86
01/2002,2288.452
02/2002,2480.935
03/2002,2476.951
04/2002,2668.576
05/2002,2281.013
06/2002,2964.703
07/2002,2485.933
08/2002,2513.984
09/2002,2109.548
10/2002,2793.437
11/2002,2367.371
12/2002,2084.241
01/2003,2129.9
02/2003,2586.7
03/2003,3243.2
04/2003,2544.3
05/2003,2240.3
06/2003,2478.8
07/2003,2335.2
08/2003,2827.8
09/2003,2741.4
10/2003,3206.2
11/2003,2341.8
12/2003,2384.6
01/2004,2297.1
02/2004,2329.8
03/2004,3473.1
04/2004,2989.8
05/2004,3037.6
06/2004,3051.4
07/2004,3915.6
08/2004,2984.2
09/2004,2794.8
10/2004,2735.2
11/2004,2446.3
12/2004,2562.9
01/2005,2432.7
02/2005,2626.9
03/2005,3241.6
04/2005,3312.1
05/2005,2966.6
06/2005,3039.2
07/2005,3236.7
08/2005,3761.6
09/2005,3291.8
10/2005,4154.9
11/2005,3409.6
12/2005,3397.5
01/2006,3082.7
02/2006,3842.8
03/2006,3650.5
04/2006,3484.8
05/2006,3694.7
06/2006,3860.6
07/2006,3922.3
08/2006,3759.2
09/2006,3865.3
10/2006,4050.3
11/2006,4550
12/2006,5710.5
01/2007,3659.4
02/2007,3744
03/2007,4767.9
04/2007,3830.1
05/2007,4075.9
06/2007,4280.4
07/2007,4038.8
08/2007,3836.1
09/2007,3994.2
10/2007,4549.4
11/2007,3911.9
12/2007,3968.2
01/2008,4011.4
02/2008,4420.3
03/2008,4824.5
04/2008,4452.3
05/2008,4407.5
06/2008,4448.1
07/2008,4435.9
08/2008,4448.9
09/2008,4700.9
10/2008,4896.2
11/2008,3864.9
12/2008,3972.7
01/2009,3666.3
02/2009,3506.1
03/2009,3471.4
04/2009,3144
05/2009,3091.6
06/2009,3148.2
07/2009,3420.6
08/2009,3558.6
09/2009,3586.4
10/2009,3468.8
11/2009,3672.7
12/2009,3702.2
01/2010,3656.2
02/2010,3324.1
03/2010,4478.3
04/2010,4362.2
05/2010,3970.4
06/2010,4088
07/2010,4234.4
08/2010,3911.5
09/2010,3881.9
10/2010,3885.9
11/2010,3936.6
12/2010,3789.9
01/2011,3571.6
02/2011,3478.8
03/2011,4017.2
04/2011,4235.1
05/2011,4030.9
06/2011,4165.6
07/2011,4018.2
08/2011,3975.4
09/2011,3917.3
10/2011,3710.9
11/2011,4911.7
12/2011,4392
01/2012,4089.9
02/2012,4120.4
03/2012,4352.3
04/2012,3807
05/2012,4470.2
06/2012,3886.6
07/2012,4174
08/2012,4030.2
09/2012,3833.3
10/2012,4347.8
11/2012,3543.7
12/2012,3502
01/2013,4229.6
02/2013,3785.9
03/2013,3799.2
04/2013,4033.5
05/2013,3800.3
06/2013,3755.9
07/2013,4349.8
08/2013,4266.6
09/2013,4760.3
10/2013,4037.2
11/2013,3886.9
12/2013,3694
01/2014,4116.6
02/2014,3937.7
03/2014,4622.1
04/2014,4619.7
05/2014,3937.6
06/2014,3545.7
07/2014,3513.8
08/2014,3677.1
09/2014,3513.7
10/2014,4278.8
11/2014,3981.1
12/2014,4534.5
01/2015,3823.2
02/2015,3183.9
03/2015,4485.9
04/2015,3894.4
05/2015,3504
06/2015,4026.5
07/2015,3627.6
08/2015,3623.1
09/2015,4090
10/2015,3976.8
11/2015,3914.7
12/2015,3736.5
01/2016,3128.8
02/2016,3094.9
03/2016,3759.6
04/2016,3679.5
05/2016,3557.1
06/2016,3444.9
07/2016,3377.7
08/2016,3664.3
09/2016,3515.2
10/2016,3448.6
11/2016,3989.9
12/2016,3920.1
01/2017,3903.9
02/2017,3281.6
03/2017,4107.9
04/2017,3870.7
05/2017,4561.7
06/2017,4129.1
07/2017,3775.7
08/2017,4152.3
09/2017,3647.5
10/2017,4039.3
11/2017,3916.7
12/2017,4169.5
01/2018,3792.7
02/2018,3297
03/2018,4669.1
04/2018,4440
05/2018,5017.2
06/2018,5173
07/2018,4782.8
08/2018,5016.8
09/2018,4583.3
10/2018,5659.7
11/2018,5055
12/2018,5077.3
01/2019,4791.4
02/2019,4506.7
03/2019,4925.9
04/2019,5275
05/2019,4969.2
06/2019,5125.4
07/2019,5126.3
08/2019,5362.1
09/2019,4726.8
10/2019,4850.1
11/2019,5428.5
12/2019,4625.2
01/2020,4497.9
02/2020,4398.3
03/2020,5001.6
04/2020,4408.7
05/2020,3555
06/2020,3825.4
07/2020,3815.6
08/2020,3476.1
09/2020,3906.5
10/2020,4161.8
11/2020,3536
12/2020,3794.2
01/2021,3688.4
02/2021,3573.9
03/2021,4466.4
04/2021,5036
05/2021,4182.6
06/2021,4418.9
07/2021,4579.5
08/2021,4826.4
09/2021,4593.6
10/2021,4870.7
11/2021,4928.8
12/2021,5184.1
01/2022,4451.7
02/2022,4444.8
03/2022,5939.6
04/2022,6441.5
05/2022,6889.7
06/2022,6219.8
07/2022,6158.1
08/2022,6575.1
09/2022,6537.2
10/2022,6163.5
11/2022,5832
12/2022,5314.2
01/2023,5207.3
02/2023,4894.4
03/2023,6088
04/2023,5047.3
05/2023,5086.4
06/2023,6580.8
07/2023,5415.3
08/2023,6867.9
09/2023,5589.9
10/2023,6358.4
11/2023,6717.1
12/2023,5951.5
01/2024,5242.3
02/2024,4958.7
03/2024,5838
04/2024,6970
05/2024,6411.2
06/2024,6316.9
07/2024,6190.1
08/2024,7258.3
09/2024,6449.3
10/2024,6092.8
11/2024,5988.7
12/2024,6651.8
01/2025,5222.6
02/2025,5599.9
03/2025,6313.3
04/2025,6316
05/2025,6721.3
06/2025,5535.5
07/2025,5389.8
08/2025,5723.3
09/2025,5368.8
10/2025,5646.3
11/2025,5727.3
12/2025,6374.7
01/2026,6567.6
