,进口：澳大利亚
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36417101 (SJCP)
SR码,SR739141
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
12/2002,285.836
01/2003,394.6
02/2003,463.3
03/2003,437.7
04/2003,395.1
05/2003,319.2
06/2003,277.7
07/2003,259.1
08/2003,257.1
09/2003,328.8
10/2003,268.5
11/2003,298.4
12/2003,297.6
01/2004,245.5
02/2004,295.8
03/2004,272.5
04/2004,357.5
05/2004,336.9
06/2004,327.9
07/2004,417.8
08/2004,402.5
09/2004,420.6
10/2004,264.1
11/2004,356.9
12/2004,377.1
01/2005,304.8
02/2005,236.9
03/2005,469.9
04/2005,293.3
05/2005,477.7
06/2005,361.7
07/2005,441.9
08/2005,407.5
09/2005,453.1
10/2005,548.6
11/2005,542.8
12/2005,518
01/2006,328.1
02/2006,556.3
03/2006,401.2
04/2006,364.7
05/2006,442.1
06/2006,856.9
07/2006,574.2
08/2006,563.9
09/2006,487.9
10/2006,439
11/2006,407.1
12/2006,558.1
01/2007,370.2
02/2007,301.3
03/2007,388.3
04/2007,357.5
05/2007,442.5
06/2007,426.4
07/2007,437.2
08/2007,470
09/2007,322.8
10/2007,510.9
11/2007,452.1
12/2007,355.6
01/2008,637.5
02/2008,362.4
03/2008,457.1
04/2008,652.3
05/2008,673.9
06/2008,602
07/2008,640.8
08/2008,568.4
09/2008,675.2
10/2008,603.8
11/2008,506.3
12/2008,350.8
01/2009,498
02/2009,382.1
03/2009,588.9
04/2009,451.8
05/2009,541.2
06/2009,461.3
07/2009,538.4
08/2009,491.7
09/2009,417.9
10/2009,568.4
11/2009,545.6
12/2009,507.1
01/2010,525.5
02/2010,370.2
03/2010,533.8
04/2010,593.2
05/2010,358.8
06/2010,305.5
07/2010,534.1
08/2010,644.8
09/2010,365.9
10/2010,275.1
11/2010,375.3
12/2010,373.7
01/2011,528.9
02/2011,430.3
03/2011,378.5
04/2011,321.7
05/2011,447.6
06/2011,512.7
07/2011,371.2
08/2011,401.3
09/2011,310.1
10/2011,389.1
11/2011,615.8
12/2011,405.2
01/2012,359.2
02/2012,328.9
03/2012,789.1
04/2012,412.7
05/2012,314.8
06/2012,689.4
07/2012,537.9
08/2012,626.4
09/2012,684
10/2012,857.4
11/2012,593.5
12/2012,706.4
01/2013,313.1
02/2013,482.7
03/2013,593
04/2013,661.9
05/2013,702.1
06/2013,393.3
07/2013,669.6
08/2013,663.3
09/2013,637.2
10/2013,722.2
11/2013,394
12/2013,493.6
01/2014,1193.4
02/2014,800.4
03/2014,677.2
04/2014,658.1
05/2014,820
06/2014,761.7
07/2014,644.6
08/2014,785.1
09/2014,1083.5
10/2014,961.8
11/2014,617.5
12/2014,915.4
01/2015,696.9
02/2015,776
03/2015,971.4
04/2015,622.7
05/2015,382.3
06/2015,472.8
07/2015,627.4
08/2015,519.3
09/2015,516.5
10/2015,777.3
11/2015,297.5
12/2015,403.4
01/2016,562.6
02/2016,581.5
03/2016,550.4
04/2016,442.6
05/2016,388.8
06/2016,451.5
07/2016,315.5
08/2016,340.4
09/2016,326.6
10/2016,404.9
11/2016,450.8
12/2016,425.3
01/2017,348.6
02/2017,335.4
03/2017,633.6
04/2017,306.8
05/2017,504.5
06/2017,320.9
07/2017,686.5
08/2017,348.3
09/2017,377.5
10/2017,464.9
11/2017,859.5
12/2017,450.2
01/2018,474.6
02/2018,517.3
03/2018,511.5
04/2018,422.4
05/2018,700.2
06/2018,710.2
07/2018,662.1
08/2018,673.3
09/2018,550.6
10/2018,635.2
11/2018,765.6
12/2018,744.8
01/2019,533.9
02/2019,716.8
03/2019,355.7
04/2019,663.2
05/2019,717.1
06/2019,441.9
07/2019,665.9
08/2019,912.4
09/2019,753.4
10/2019,797.5
11/2019,729.7
12/2019,1248.1
01/2020,695.5
02/2020,500.4
03/2020,743.6
04/2020,480.8
05/2020,328.5
06/2020,330.1
07/2020,380.6
08/2020,457.1
09/2020,359.9
10/2020,522.4
11/2020,1279.4
12/2020,432.8
01/2021,634.4
02/2021,1077.1
03/2021,1016
04/2021,929.3
05/2021,840.4
06/2021,742.1
07/2021,1056.2
08/2021,570.7
09/2021,528.7
10/2021,860.1
11/2021,825.2
12/2021,639.3
01/2022,682.5
02/2022,744.6
03/2022,759.7
04/2022,1454.9
05/2022,977.5
06/2022,1020.5
07/2022,924.5
08/2022,697
09/2022,1447.9
10/2022,1246.3
11/2022,577.8
12/2022,1253.4
01/2023,869.5
02/2023,460.8
03/2023,1411.9
04/2023,625.3
05/2023,784.5
06/2023,507.7
07/2023,600.4
08/2023,595.3
09/2023,455.1
10/2023,1091.9
11/2023,1051.7
12/2023,808
01/2024,902.7
02/2024,754.8
03/2024,1107.2
04/2024,968.5
05/2024,1010.5
06/2024,1066.1
07/2024,1233.4
08/2024,909.9
09/2024,449.6
10/2024,1002.6
11/2024,338.7
12/2024,671.1
01/2025,574.5
02/2025,331.7
03/2025,726.7
04/2025,730.7
05/2025,1114.2
06/2025,523.9
07/2025,565.3
08/2025,621.7
09/2025,607
10/2025,918.5
11/2025,867.9
12/2025,611.6
01/2026,1372.5
