,进口：法国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36415901 (SJCA)
SR码,SR739115
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
12/2002,315.126
01/2003,311.7
02/2003,272.3
03/2003,318.4
04/2003,640.2
05/2003,284.4
06/2003,279.4
07/2003,392.4
08/2003,343.2
09/2003,325.4
10/2003,419.7
11/2003,339.6
12/2003,400.2
01/2004,1289.5
02/2004,333.1
03/2004,476.9
04/2004,1031.5
05/2004,515.4
06/2004,490.3
07/2004,446.7
08/2004,558.9
09/2004,482.2
10/2004,475.3
11/2004,454.4
12/2004,473
01/2005,489.4
02/2005,430.6
03/2005,465.8
04/2005,460.5
05/2005,464.9
06/2005,533.6
07/2005,500
08/2005,711
09/2005,554.2
10/2005,541.9
11/2005,589.9
12/2005,603.8
01/2006,531.3
02/2006,607.5
03/2006,748.5
04/2006,665.5
05/2006,814.1
06/2006,760.5
07/2006,775.7
08/2006,727
09/2006,666.6
10/2006,844.5
11/2006,645
12/2006,737.4
01/2007,603.8
02/2007,601.6
03/2007,673.1
04/2007,701.3
05/2007,633.5
06/2007,1175.1
07/2007,761.4
08/2007,793.9
09/2007,660.9
10/2007,1243.6
11/2007,701.5
12/2007,751
01/2008,1090.3
02/2008,706.3
03/2008,1122.7
04/2008,1216
05/2008,630.1
06/2008,1216.6
07/2008,798.1
08/2008,833.5
09/2008,1255.6
10/2008,833.4
11/2008,747.5
12/2008,667.9
01/2009,897.8
02/2009,1205.8
03/2009,1009.8
04/2009,1144
05/2009,1602.5
06/2009,1553.7
07/2009,690.1
08/2009,588.3
09/2009,1211.7
10/2009,680.4
11/2009,770.2
12/2009,830.5
01/2010,925.7
02/2010,759.4
03/2010,654.1
04/2010,642.2
05/2010,626.8
06/2010,697.2
07/2010,1114
08/2010,646.1
09/2010,790.3
10/2010,1383.3
11/2010,967.1
12/2010,912.7
01/2011,748.3
02/2011,652
03/2011,869.3
04/2011,776.7
05/2011,1175.7
06/2011,685.4
07/2011,752.7
08/2011,809.4
09/2011,1624
10/2011,934
11/2011,852.6
12/2011,782.3
01/2012,1543.5
02/2012,644.2
03/2012,1195.1
04/2012,871.9
05/2012,722.7
06/2012,894.4
07/2012,1238.6
08/2012,1240.8
09/2012,672.8
10/2012,892.5
11/2012,696.5
12/2012,730.7
01/2013,824.9
02/2013,883.1
03/2013,711.5
04/2013,828.9
05/2013,946.4
06/2013,744.9
07/2013,1068.6
08/2013,875
09/2013,785.6
10/2013,861.1
11/2013,861.3
12/2013,732.4
01/2014,726.8
02/2014,732.3
03/2014,1290.1
04/2014,917.4
05/2014,851.6
06/2014,707
07/2014,919.6
08/2014,809.7
09/2014,789.3
10/2014,1061
11/2014,679.1
12/2014,771
01/2015,853.4
02/2015,741.4
03/2015,826
04/2015,811.4
05/2015,677.1
06/2015,783
07/2015,782.7
08/2015,728.8
09/2015,773.6
10/2015,1336.1
11/2015,824.3
12/2015,897.9
01/2016,768.1
02/2016,940.1
03/2016,1137.5
04/2016,1288.7
05/2016,953
06/2016,923
07/2016,996.4
08/2016,794.6
09/2016,763.5
10/2016,938.1
11/2016,882.3
12/2016,1424.3
01/2017,766.6
02/2017,923.8
03/2017,1035.1
04/2017,956.3
05/2017,1007.9
06/2017,1062.9
07/2017,1085.9
08/2017,1170
09/2017,1027.8
10/2017,960.6
11/2017,1172.9
12/2017,1165
01/2018,1245.9
02/2018,964.5
03/2018,1036
04/2018,1001.7
05/2018,950
06/2018,1092.9
07/2018,1618.8
08/2018,1232.3
09/2018,1526.1
10/2018,1500
11/2018,1673
12/2018,1578.8
01/2019,1314.6
02/2019,1152.2
03/2019,1309.2
04/2019,1109.3
05/2019,1692.4
06/2019,1247.6
07/2019,1377.2
08/2019,1384.5
09/2019,1553.2
10/2019,1539.9
11/2019,1607
12/2019,1305.9
01/2020,1491.4
02/2020,1123
03/2020,1233.3
04/2020,912.8
05/2020,690.1
06/2020,895.5
07/2020,1088
08/2020,922
09/2020,1167.2
10/2020,1922.4
11/2020,1498.9
12/2020,1141.6
01/2021,1021.3
02/2021,987.5
