,进口：韩国
区域,新加坡
次国家,
频率,月
单位,百万新加坡元
数据来源,Enterprise Singapore
状态,继续
数列ID,36416701 (SJCJ)
SR码,SR739132
贸易代码,
助记符,
函数说明,
首次观测日期,01/1976
最后观测日期,01/2026
最后更新时间,16/02/2026
数列备注,
建议,
12/2002,594.445
01/2003,676.3
02/2003,540
03/2003,678.4
04/2003,696.8
05/2003,710.7
06/2003,639.6
07/2003,759.4
08/2003,811.3
09/2003,755.8
10/2003,798.5
11/2003,836.8
12/2003,756.9
01/2004,792.1
02/2004,795.1
03/2004,928.1
04/2004,980.3
05/2004,999.8
06/2004,929.1
07/2004,1061.9
08/2004,1032.1
09/2004,981.8
10/2004,1106.5
11/2004,1098.8
12/2004,1183.7
01/2005,1172.9
02/2005,876.9
03/2005,1194.3
04/2005,1045.1
05/2005,1058.2
06/2005,1172
07/2005,1198.5
08/2005,1186.5
09/2005,1225.5
10/2005,1380.9
11/2005,1472.8
12/2005,1426.3
01/2006,1232.7
02/2006,1316.9
03/2006,1393.9
04/2006,1277.4
05/2006,1450.1
06/2006,1669.8
07/2006,1471.7
08/2006,1451.6
09/2006,1298.5
10/2006,1696.1
11/2006,1464.3
12/2006,1244.1
01/2007,1702.5
02/2007,1151.2
03/2007,1441.8
04/2007,1463.1
05/2007,1373.6
06/2007,1658.8
07/2007,1816.2
08/2007,1437.8
09/2007,1526.2
10/2007,1784.2
11/2007,2188.9
12/2007,1813.7
01/2008,2519.8
02/2008,1588.5
03/2008,2161.4
04/2008,2688.6
05/2008,2163.6
06/2008,2401.7
07/2008,2613.8
08/2008,2212.9
09/2008,2263.3
10/2008,1977.7
11/2008,1553.7
12/2008,1425.6
01/2009,1225.5
02/2009,1225.9
03/2009,1470.8
04/2009,1404.6
05/2009,1596.6
06/2009,1534
07/2009,2195.6
08/2009,1731.8
09/2009,2391.2
10/2009,1948.6
11/2009,1830
12/2009,1879.5
01/2010,2298
02/2010,1684.1
03/2010,1928.6
04/2010,2259.6
05/2010,1836.8
06/2010,2338.2
07/2010,1865.2
08/2010,1779.9
09/2010,1900.4
10/2010,2436.9
11/2010,2348.8
12/2010,2050.2
01/2011,2258.3
02/2011,1566.6
03/2011,2333.9
04/2011,2006.2
05/2011,2600.8
06/2011,2795.3
07/2011,2299.2
08/2011,2274.4
09/2011,2196
10/2011,2712.6
11/2011,2545.3
12/2011,2075.6
01/2012,2494.5
02/2012,2492.7
03/2012,2589.8
04/2012,2340
05/2012,2578.6
06/2012,2676.2
07/2012,2691.8
08/2012,2347.5
09/2012,2774.8
10/2012,2824.3
11/2012,3519.7
12/2012,3077.4
01/2013,2743.7
02/2013,2395.9
03/2013,2679.7
04/2013,2750.6
05/2013,2872.6
06/2013,2593.2
07/2013,2327.9
08/2013,2093
09/2013,2765.9
10/2013,2495.8
11/2013,2265.1
12/2013,2183.9
01/2014,2235.6
02/2014,2211.8
03/2014,2548.6
04/2014,2712.4
05/2014,2466.1
06/2014,2360
07/2014,2475
08/2014,1986.3
09/2014,2289.9
10/2014,2011.2
11/2014,2040.4
12/2014,2295.8
01/2015,1631.3
02/2015,1504
03/2015,2437.6
04/2015,2497.4
05/2015,2140.1
06/2015,1983.4
07/2015,1988.3
08/2015,2292.1
09/2015,2546
10/2015,2052.5
11/2015,1957.9
12/2015,2135.2
01/2016,1744.2
02/2016,2333.1
03/2016,1901.3
04/2016,2186.1
05/2016,1899.6
06/2016,1772.8
07/2016,2070.1
08/2016,1838.3
09/2016,2117.7
10/2016,1867
11/2016,1666.6
12/2016,2113.5
01/2017,2142
02/2017,1581.9
03/2017,1792.9
04/2017,2025.6
05/2017,1840.2
06/2017,1688.9
07/2017,1933.9
08/2017,1983.5
09/2017,1992.2
10/2017,1860.1
11/2017,1932.3
12/2017,1548.8
01/2018,1558
02/2018,1350.9
03/2018,1590.3
04/2018,1509.5
05/2018,1501.2
06/2018,1436.6
07/2018,1696
08/2018,1742.9
09/2018,1719
10/2018,2007.8
11/2018,1550.8
12/2018,1497.8
01/2019,1596.7
02/2019,1615.7
03/2019,1848.6
04/2019,1545.6
05/2019,1639.4
06/2019,1470.3
07/2019,1438.3
08/2019,1223
09/2019,1534.5
10/2019,1688.8
11/2019,1445.3
12/2019,1644.9
01/2020,2078.1
02/2020,1927.1
03/2020,2006.5
04/2020,1815.3
05/2020,1285.2
06/2020,1506.8
07/2020,1808.7
08/2020,1438.6
09/2020,1784
10/2020,1863.3
11/2020,1825.9
12/2020,2111.5
01/2021,1863.9
02/2021,1792.8
03/2021,2390.2
04/2021,2052
05/2021,2155.6
06/2021,2352.8
07/2021,2545.7
08/2021,2540
09/2021,2896.7
10/2021,2662
11/2021,3111.7
12/2021,3432.7
01/2022,3341.6
02/2022,3042.1
03/2022,4028.5
04/2022,3557.6
05/2022,3678.2
06/2022,4120.9
07/2022,4382.6
08/2022,3841.8
09/2022,3113.8
10/2022,3044.6
11/2022,2863
12/2022,3207.3
01/2023,2919.3
02/2023,2592.2
03/2023,2828.3
04/2023,2694.6
05/2023,2876.2
06/2023,2665.9
07/2023,2618.7
08/2023,2766.4
09/2023,3049.6
10/2023,3180.5
11/2023,3103.3
12/2023,3166.3
01/2024,4087.8
02/2024,2957.2
03/2024,3269.5
04/2024,3089.1
05/2024,3117.1
06/2024,3022.2
07/2024,3390.7
08/2024,2950.2
09/2024,3041.7
10/2024,3000.3
11/2024,2793.8
12/2024,3675.7
01/2025,3785.7
02/2025,3166
03/2025,3685.2
04/2025,3555.8
05/2025,3229.9
06/2025,2789.2
07/2025,3795.3
08/2025,3464.5
09/2025,3659.3
10/2025,3688.8
11/2025,3424.9
12/2025,4222.1
01/2026,3884.3
